baskar.webp,Dr.R.Baskar,Senior Professor & Vice Principal,https://sites.google.com/a/kongu.edu/erbaskar-chem/
chitradevi.webp,Dr.V.Chitra Devi,Senior Professor & Head,https://sites.google.com/a/kongu.edu/chitrasuresh-kongu-ac-in/
senthilkumar.webp,Dr.K.Senthilkumar,Senior Associate Professor,https://sites.google.com/a/kongu.edu/senthilkumar-k/
sudha.webp,Dr A.Sudha,Associate Professor,https://sites.google.com/a/kongu.edu/asudha/
shivaswamy.webp,M.S.Shivaswamy,Assistant Professor (SRG),https://sites.google.com/a/kongu.edu/msswamy/
jonyblessingmanoj.webp,J.Jony Blessing Manoj,Assistant Professor (SRG),https://docs.google.com/document/d/10qzZ22ul7iuMJd77bkl52fK9D_rMOkTr/edit?pli=1
sangeetha.webp,A.Sangeetha,Assistant Professor (SRG),https://docs.google.com/document/d/1b9-tffDEoVxHt9oNoU902SWEqBAeENtd/edit?usp=sharing&ouid=113901937270956212058&rtpof=true&sd=true 
arunjoshy.webp,V.Arun Joshy,Assistant Professor (SRG),https://sites.google.com/a/kongu.edu/arunjoshy-ft/
dhivyabharathi.webp,N.Dhivya Bharathi,Assistant Professor (SRG),https://sites.google.com/a/kongu.edu/dhivya-bharathi-food-technology/
srimohanapriya.webp,K.K.Sri Mohana Priya ,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vQk2zu5FjgugEqVlT5cIs7Stn5kY3uMRNkfOmF446cBrq3G3EoKngCWm2of5JXe-Q/pub
raghu.webp,A.Raghu,Assistant Professor,https://docs.google.com/document/u/1/d/e/2PACX-1vT6_R106XoXatGiKiUSQf8E32zMV32otkczOriRqruRch4dG6NiApcrH5KF1DxyJQ/pub
deepika.webp,R.M.Deepika,Assistant Professor,https://docs.google.com/document/d/1QIQy1dzlNE94EK90f2WkyoOUPCh0WbN4vybTQa1GSx4/edit?usp=sharing
kavinya.webp,S.Kavinya,Assistant Professor,https://docs.google.com/document/d/1VuBDLKehANtxR9Q5kbI1bpsqeBZAV9zeixrzHKBmbGY/edit?usp=sharing
mohanapriya.webp,M.Mohana priya,Assistant Professor,https://docs.google.com/document/d/1i_ze0-FJCDqWbqFvjxEJVsqUwTGpgRyp/edit?usp=sharing&ouid=100668690466868215762&rtpof=true&sd=true
ramya.webp,M. Ramya,Assistant Professor,https://docs.google.com/document/d/1sCBGT27RtJgF_g0TF4DwQBQvV_QMAGo1PwozfwZl3oI/edit?usp=sharing
kavitha.webp,Dr.P.Kavitha,Adjunct Faculty,https://docs.google.com/document/d/1DyokwFs2FeHlPbQK3LvIa7pThUm4A-jei7LWeD2RxLI/edit?usp=sharing
