Dr.R.Somasundaram.jpg,Dr.R.Somasundaram,Professor,https://sites.google.com/a/kongu.edu/somasundaram/
Dr. P.Vidhya Priya.jpeg,Dr.P.Vidhya Priya,Professor,https://sites.google.com/a/kongu.edu/vidhyapriyap/
Dr.P.Karthikeyan.jpg,Dr.P.Karthikeyan,Professor & Head,https://sites.google.com/kongu.edu/karthikeyan-mba
Dr. S.C.Vetrivel.jpg,Dr.S.C.Vetrivel,Associate Professor,https://sites.google.com/view/drscvetrivel/home
Dr. V.Krishnamoorthy.jpg,Dr.V.Krishnamoorthy,Associate Professor,https://sites.google.com/kongu.edu/dr-krishnamoorthy/publications
Dr. P.Sundharesalingam.jpg,Dr.P.Sundharesalingam,Associate Professor,https://sites.google.com/a/kongu.edu/sundaresalingam-mba/
Dr.M.Mohanasundhari.jpg,Dr.M.Mohanasundari,Associate Professor,https://sites.google.com/a/kongu.edu/mohanasundari-mba/
Dr. S.Padmavathy.jpg,Dr.S.Padmavathy,Assistant Professor (SLG),https://sites.google.com/a/kongu.edu/padmavathys-mba/
Dr. N.Prakash.jpg,Dr.N.Prakash,Assistant Professor (SLG),https://sites.google.com/a/kongu.edu/nprakash/
Dr R.Maheswari.jpg,Dr.R.Maheswari,Assistant Professor (SRG),https://sites.google.com/a/kongu.edu/dr-r-maheswari-mba/
Dr V.Vaishnavi.jpg,Dr.V.Vaishnavi,Assistant Professor (SRG),https://sites.google.com/a/kongu.edu/vvaishnavi-mba/
Ms.M. Dharshne.JPG,M.Dharshne,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vRZs00gXRrDeCI0W07OXSfZxNcfCsPhRas_8UedHSk3kbtZL2QmBtm0xSDfOJKueQ/pub
K.M.Jemima Nilofar.jpg,K.M.Jemima Nilofar,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vSp-AfeUSUc2cHW72xYta8sxx8ojFbzVDDwFyjEVPcLFvSM9XDCYSkGkFq_xJe-5A/pub
arulananth.jpeg,Dr.P.Arulananth,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vSZVfiO15Qml3jNqz-yF5a-k4hyQSpC96NKiDFLoOOFwsGMGJy0bUbLDL3g7U-tneO-RUUg3ONyFIck/pub
