tamilarasi.webp,Dr.A.Tamilarasi,Senior Professor & Head,https://docs.google.com/document/d/e/2PACX-1vRT_81gj_ZeKRXJQeyZH5IYv9tP1aaIeYsh69hvvC8jYsbXjvKxjSiMD4rOvAC-SxfXVfvUpXN5QtZo/pub
jagadeesan.webp,Dr.M.Jagadeesan,Associate Professor,https://docs.google.com/document/d/e/2PACX-1vSvECDI9fOVeHPXwZLoiXa66o2lV1nbweo052LfnyTboWdPHPMEaX0g18W9K1s20Q/pub
rahunathan.webp,Dr.L.Rahunathan,Associate Professor,https://docs.google.com/document/d/e/2PACX-1vTvryf4haf-rpI2hv4u-1i45JkADaNdVR16ub1zNJah2HojqmjgCsxjviIByOHtAg/pub
pyingkodi.webp,Dr.M.Pyingkodi,Associate Professor,https://docs.google.com/document/d/e/2PACX-1vRiG8xYN5cKmBsoyOgYJLlvwq7bVRN0b8AVAkQu0SYD0YeS06OrtTHiYHTWUZS1pg/pub
chitra.webp,Dr.K.Chitra,Assistant Professor  (SLG),https://docs.google.com/document/d/e/2PACX-1vTS-r-Hy2zV6fipK1ngzjIUQ3y6E6IDOpZCBDTBl2tEITVbTMNxGo60oRgbEh2yM3xPmdQymZRjHuZp/pub
kavitha.webp,Dr.T.Kavitha,Assistant Professor  (SLG),https://docs.google.com/document/d/e/2PACX-1vR9UiWok9DyoM6AdQNvSiFTu1d-wHinMZP6hiRDe_qZYd1GlgHpFXNNgisHpCXwsw/pub
hemalatha.webp,S.Hemalatha,Assistant Professor  (SLG),https://docs.google.com/document/d/e/2PACX-1vSulKenHaqofU2DAceLISMnH5X_3lqXg2c6crvlmTLTw79ABxgUN8WVA_RxbitgMA/pub
kalpana.webp,T.Kalpana,Assistant Professor  ,https://docs.google.com/document/d/e/2PACX-1vTiYcJSOom7IBpKJJCEAuo_fDn0s2SQxxp8RO2ZuM1JjQRGdo9vAmTqw9lYVUmKig/pub
vijayakumar.webp,Dr.P.Vijayakumar,Assistant Professor  ,https://docs.google.com/document/d/e/2PACX-1vRc85KyhtcNi00B4USvncChJh-Zf59PBdVCLMRni0a-uHRlAwSQu-kmG-HmEbZ4T0ZQqxsMRyXISDNt/pub
sindhu.webp,Dr.M.Sindhu,Assistant Professor  ,https://docs.google.com/document/d/e/2PACX-1vRxu-0GspoXFD-Hln6yk827IgUXbrJw47Ow__IlrRKzgdvrWa1DDeYxv4pJuCGzC1PA7-KBbkCWI9iq/pub
karthikeyan.webp,S.B.Karthikeyan,Assistant Professor  ,https://docs.google.com/document/d/e/2PACX-1vT_3PvujQ1APdHesvuwNJeDihaHOemPzazh6d7vV1A-ABOcnFMPTIDUOlm4n7Ib9igw7nUBA1e5VhnH/pub
dharanisri.webp,P.Dharanisri,Assistant Professor  ,https://docs.google.com/document/d/e/2PACX-1vTUy0wP_lg3wI3QV8xOg7_yz4dVB6EpZ-8frtSFinR5IAJY2JuE1WeRft8q8Nuo-Q/pub
